epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,4.15886,1.364,0.358623,1.00538,1024,0.07885
2,4.15887,1.36347,0.358583,1.00489,1024,0.04489
3,4.15887,1.36298,0.358553,1.00443,1024,0.04505
4,4.15887,1.36251,0.358527,1.00399,1024,0.04203
5,4.15886,1.36206,0.358505,1.00355,1024,0.04604
6,4.15885,1.36162,0.358488,1.00313,1024,0.05286
7,4.15884,1.36118,0.358475,1.0027,1024,0.03861
8,4.15882,1.36068,0.358465,1.00222,1024,0.03846
9,4.1588,1.36015,0.358459,1.00169,1024,0.04023
10,4.15878,1.35962,0.358459,1.00116,1024,0.04359
11,4.15877,1.35903,0.358459,1.00058,1024,0.0407
12,4.15876,1.35846,0.358459,1,1024,0.04077
13,4.15875,1.35823,0.358459,0.999772,1024,0.03943
14,4.15875,1.35878,0.358459,1.00032,1024,0.03993
15,4.15875,1.35879,0.358458,1.00033,1024,0.03955
16,4.15875,1.35851,0.358455,1.00005,1024,0.03554
17,4.15876,1.35829,0.358453,0.999833,1024,0.04065
18,4.15876,1.35821,0.358451,0.999756,1024,0.03532
19,4.15877,1.35822,0.35845,0.999771,1024,0.04042
20,4.15877,1.35826,0.358448,0.999814,1024,0.04494
21,4.15878,1.3583,0.358447,0.999851,1024,0.04333
22,4.15878,1.35832,0.358446,0.999871,1024,0.04803
23,4.15879,1.35832,0.358444,0.999874,1024,0.05149
24,4.15879,1.35831,0.358443,0.999863,1024,0.04197
25,4.15879,1.35829,0.358441,0.999844,1024,0.04435
26,4.15879,1.35826,0.35844,0.99982,1024,0.04276
27,4.15879,1.35823,0.358438,0.999796,1024,0.03772
28,4.15879,1.35821,0.358436,0.999775,1024,0.04929
29,4.15878,1.32109,0.320813,1.00028,1216,0.09553
30,4.15876,1.33597,0.335834,1.00014,1216,0.08217
31,4.15872,1.36173,0.361465,1.00026,1216,0.08813
32,4.15866,1.36805,0.367844,1.00021,1216,0.15812
33,4.15855,1.36407,0.364113,0.999958,1216,0.09204
34,4.15846,1.35233,0.352491,0.999838,1216,0.08372
35,4.15849,1.36561,0.366837,0.998768,1216,0.07303
36,4.15862,1.36052,0.360268,1.00025,1216,0.07463
37,4.15871,1.34906,0.34716,1.0019,1216,0.07724
38,4.15875,1.38263,0.383278,0.999348,1216,0.07489
39,4.15873,1.34562,0.346067,0.999555,1216,0.07052
40,4.1587,1.37476,0.376336,0.99842,1216,0.09187
41,4.15864,1.35652,0.357018,0.999501,1216,0.07986
42,4.15859,1.33276,0.331939,1.00082,1216,0.08709
43,4.15859,1.36529,0.369867,0.995419,1216,0.08088
44,4.1585,1.34478,0.365273,0.979505,1216,0.079
