epoch,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
127,0.760636,0.247527,0.513109,53855,2.84272
128,0.761879,0.247412,0.514467,54232,2.85477
129,0.762028,0.247362,0.514666,54623,3.03995
130,0.761751,0.247216,0.514535,55046,3.05888
131,0.761907,0.247159,0.514748,55454,3.13458
132,0.760663,0.247155,0.513508,55885,3.14255
133,0.762999,0.246425,0.516574,56343,3.1967
134,0.771392,0.248842,0.52255,56808,3.56409
135,0.759271,0.246875,0.512396,57303,3.10698
136,0.755951,0.246054,0.509897,57765,3.4444
137,0.76001,0.246582,0.513428,58233,3.24317
138,0.756051,0.246006,0.510045,58763,3.54445
139,0.755368,0.245551,0.509817,59247,3.17933
140,0.75589,0.245612,0.510278,59599,3.08373
141,0.757643,0.245785,0.511858,60013,3.1916
142,0.757657,0.245736,0.511921,60446,3.34559
143,0.757017,0.24612,0.510897,60988,3.31781
144,0.756209,0.245049,0.51116,61489,3.84838
145,0.753241,0.245259,0.507982,62035,3.49785
146,0.751581,0.244453,0.507129,62522,3.66452
147,0.75195,0.244534,0.507416,62997,3.65841
148,0.752809,0.244202,0.508607,63576,3.77824
149,0.75296,0.244996,0.507964,64078,3.51742
150,0.747943,0.243993,0.50395,64615,3.65544
151,0.747066,0.243904,0.503162,65086,3.58199
152,0.745087,0.243905,0.501182,65604,3.33539
153,0.748547,0.243822,0.504725,66054,3.39925
154,0.746148,0.243413,0.502735,66516,3.77071
155,0.745594,0.243266,0.502328,67042,3.7417
156,0.745151,0.243204,0.501947,67582,3.57855
157,0.743965,0.242812,0.501153,68114,3.72265
158,0.744145,0.243268,0.500877,68640,3.62487
159,0.775811,0.247717,0.528095,69145,3.85747
160,0.748248,0.243137,0.505111,69651,3.78012
161,0.813521,0.252627,0.560894,70197,3.98702
162,0.758556,0.245933,0.512623,70774,3.98691
163,0.753756,0.245098,0.508658,71316,4.14663
164,0.747556,0.243953,0.503603,71873,3.92344
165,0.743849,0.243142,0.500706,72418,4.28181
166,0.741242,0.242761,0.498481,72830,3.91466
167,0.742015,0.242446,0.499569,73564,4.07635
168,0.739758,0.242065,0.497694,74109,4.06129
169,0.739655,0.241987,0.497668,74745,3.65142
170,0.740336,0.241615,0.49872,75240,4.15593
171,0.739296,0.241365,0.49793,75822,4.05573
172,0.739914,0.241809,0.498105,76390,4.3827
173,0.736826,0.24097,0.495856,77040,4.18131
174,0.73643,0.241046,0.495385,77544,4.44325
175,0.73287,0.240486,0.492384,78154,4.32824
176,0.735029,0.240745,0.494284,78835,4.29071
177,0.73449,0.240321,0.49417,79422,4.44888
178,0.734164,0.240288,0.493876,80082,4.20173
179,0.733201,0.240146,0.493055,80623,4.63172
180,0.73283,0.240143,0.492686,81261,4.84849
181,0.730622,0.239692,0.49093,82016,4.4115
182,0.731215,0.239698,0.491517,82615,4.56467
183,0.730433,0.239638,0.490795,83337,4.46373
184,0.728939,0.239199,0.48974,83975,5.01258
185,0.738919,0.242944,0.495975,84734,5.14582
186,0.727311,0.239443,0.487869,85457,4.89937
187,0.72471,0.238976,0.485734,86133,4.71272
188,0.725645,0.238929,0.486716,86768,4.67484
189,0.725067,0.238754,0.486313,87317,4.5158
190,0.724021,0.238527,0.485495,87864,4.81785
191,0.724125,0.238435,0.48569,88469,5.01154
192,0.725324,0.238482,0.486842,89049,4.50531
193,0.72443,0.238457,0.485973,89476,5.25238
194,0.721543,0.237938,0.483605,89903,5.69071
195,0.722217,0.238065,0.484152,90943,5.30545
196,0.72163,0.237997,0.483633,91832,5.44742
197,0.720433,0.237677,0.482756,92597,4.89352
198,0.721159,0.237801,0.483358,93315,5.33508
199,0.724865,0.238526,0.486339,94073,5.07809
200,0.718641,0.2371,0.481541,94795,5.14059
201,0.717304,0.236856,0.480448,95585,4.95675
202,0.717808,0.237005,0.480803,96287,5.36935
203,0.717467,0.237285,0.480182,97075,5.33971
204,0.714343,0.236511,0.477832,97860,5.49702
205,0.716188,0.236787,0.479401,98302,5.90138
206,0.716659,0.2367,0.479959,99546,5.43114
207,0.716203,0.236469,0.479734,100216,5.74753
208,0.713321,0.236186,0.477135,101086,5.80839
209,0.713823,0.236232,0.477591,101534,5.54238
210,0.714747,0.236137,0.478609,102687,5.78745
211,0.712148,0.235863,0.476285,103128,5.65678
