epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,2.30717,3.2117,2.35183,0.859875,20536,8.9036
2,2.0541,2.40849,1.77837,0.630119,20536,5.66353
3,1.89032,2.12558,1.59988,0.525706,20536,4.7567
4,1.78494,1.88769,1.47034,0.417351,20536,5.78261
5,1.70031,1.70435,1.35068,0.353673,20536,6.80317
6,1.60825,1.57717,1.26086,0.316308,20536,5.64834
7,1.55881,1.49867,1.19452,0.304146,20536,4.84325
8,1.49052,1.39319,1.12015,0.273043,20536,5.60632
9,1.43896,1.32028,1.06407,0.256209,20536,8.97657
10,1.39358,1.2621,1.00808,0.254022,20536,9.12978
11,1.31758,1.19495,0.945466,0.249488,20536,8.92557
12,1.29537,1.13406,0.895562,0.238494,20536,9.04793
13,1.25588,1.18333,0.900799,0.282536,20984,9.45818
14,1.19563,1.06187,0.803912,0.257958,20984,9.05211
15,1.12687,0.980163,0.745234,0.234929,20984,9.05759
16,1.09288,0.93675,0.708194,0.228556,21168,10.167
17,1.05071,0.90197,0.683826,0.218144,21320,9.55986
18,1.02987,0.864261,0.653371,0.210891,21320,9.06698
19,0.997118,0.839059,0.631039,0.20802,21320,9.43668
20,0.973733,0.810042,0.607889,0.202153,21320,8.77886
21,0.956419,0.792149,0.592027,0.200122,21320,9.33664
22,0.941377,0.775199,0.578558,0.196641,21320,8.89921
23,0.916646,0.762701,0.567534,0.195167,21320,9.28947
24,0.915769,0.756651,0.56271,0.193941,21320,8.90451
25,0.907302,0.747778,0.555184,0.192593,21320,9.0253
26,0.887076,0.735035,0.543082,0.191953,21320,8.93828
27,0.887465,0.726003,0.536687,0.189315,21320,9.33106
28,0.870299,0.719091,0.530136,0.188956,21320,9.37612
29,0.867406,0.713192,0.524846,0.188346,21320,9.16539
30,0.868639,0.706828,0.521071,0.185757,21320,8.76439
31,0.846693,0.701113,0.516036,0.185077,21320,5.0206
32,0.854969,0.700602,0.516419,0.184183,21320,5.16866
33,0.844907,0.697353,0.513035,0.184318,21320,7.18631
34,0.847536,0.692075,0.509131,0.182944,21320,6.92996
35,0.837427,0.683665,0.500734,0.182931,21320,4.90039
36,0.848986,0.702978,0.519624,0.183354,21488,5.48759
37,0.848036,0.690934,0.509105,0.181829,21488,8.6749
38,0.833713,0.687501,0.505053,0.182448,21488,9.0377
39,0.834055,0.68128,0.501308,0.179973,21488,9.25826
40,0.832524,0.672344,0.492979,0.179365,21488,9.04218
41,0.815102,0.669524,0.491148,0.178376,21488,8.97146
42,0.834048,0.677939,0.500798,0.177141,21640,10.3335
43,0.839358,0.690145,0.515711,0.174434,21640,9.28145
44,0.846827,0.694214,0.520691,0.173524,21640,9.70757
45,0.851917,0.715019,0.53212,0.182899,21840,9.96083
46,0.848652,0.699136,0.521124,0.178012,21840,9.68078
47,0.833994,0.687577,0.510222,0.177355,21840,9.15443
48,0.822029,0.673198,0.498211,0.174988,21840,9.56076
49,0.81708,0.668042,0.49368,0.174361,21840,9.46803
50,0.815719,0.663024,0.489608,0.173416,21840,9.59317
51,0.809923,0.662573,0.487551,0.175021,21840,9.37628
52,0.809486,0.658301,0.48516,0.173141,21840,9.59906
53,0.811441,0.66453,0.490074,0.174457,21840,10.0128
54,0.809806,0.656819,0.484419,0.1724,21840,9.49824
55,0.807149,0.65739,0.484702,0.172688,21840,9.31054
56,0.801197,0.649777,0.477945,0.171832,21840,9.7219
57,0.797802,0.645568,0.4755,0.170068,21840,9.72839
58,0.808911,0.677918,0.500735,0.177182,22104,7.66449
59,0.812053,0.658934,0.483229,0.175705,22104,5.10897
60,0.800791,0.650902,0.475722,0.17518,22104,6.28692
61,0.792508,0.643913,0.471331,0.172582,22104,7.44321
62,0.79924,0.640276,0.467446,0.17283,22104,5.93914
