epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
103,5.90674,5.94277,5.89995,0.0428231,5112,0.83967
104,5.90559,5.93755,5.89805,0.0395044,5112,0.81781
105,5.90624,5.93049,5.8963,0.0341874,5112,0.83568
106,5.90281,5.92602,5.89482,0.0312053,5112,0.83369
107,5.90356,5.93047,5.89351,0.0369573,5112,0.82667
108,5.90298,5.92786,5.89249,0.0353673,5112,0.82807
109,5.90029,5.92608,5.89149,0.0345915,5112,0.83685
110,5.90095,5.92428,5.89061,0.0336617,5112,0.83764
111,5.89967,5.91761,5.88984,0.0277705,5112,0.85016
112,5.90142,5.91565,5.88906,0.0265845,5112,0.82606
113,5.89919,5.91536,5.8883,0.0270632,5112,0.84397
114,5.89777,5.91381,5.88762,0.0261947,5112,0.82905
115,5.89709,5.91335,5.8871,0.0262466,5112,0.78842
116,5.89861,5.91157,5.88645,0.0251175,5112,0.84648
117,5.89736,5.91338,5.88586,0.0275174,5112,0.83837
118,5.89617,5.91781,5.88542,0.0323888,5112,0.84212
119,5.90094,6.14145,5.89868,0.242777,5680,1.00512
120,5.90084,5.98987,5.89233,0.0975435,5680,0.95277
121,5.8932,5.93915,5.88973,0.0494222,5680,0.94574
122,5.8892,5.92599,5.88622,0.039765,5680,0.94408
123,5.89322,5.91938,5.88469,0.0346926,5680,0.94299
124,5.89542,5.91528,5.88278,0.0324945,5680,0.94081
125,5.8917,5.90876,5.88095,0.0278177,5680,1.00252
126,5.89043,5.90918,5.88186,0.0273144,5680,0.94378
127,5.88944,5.90311,5.8786,0.0245109,5680,0.94551
128,5.88884,5.90355,5.87901,0.0245489,5680,0.95505
129,5.88838,5.90088,5.87812,0.0227574,5680,0.9492
130,5.88949,5.90495,5.87957,0.0253832,5680,0.94424
131,5.88781,5.89915,5.87713,0.0220192,5680,0.95164
132,5.88803,5.90213,5.87807,0.0240583,5680,0.94936
133,5.88808,5.90269,5.8769,0.02579,5680,0.94422
134,5.88688,5.89844,5.87543,0.023013,5680,0.94136
135,5.8851,5.89886,5.87613,0.0227325,5680,0.94594
136,5.8866,5.89789,5.87531,0.0225848,5680,0.94648
137,5.88492,5.89562,5.87307,0.0225502,5680,0.9476
138,5.88503,5.89649,5.87498,0.0215026,5680,0.95005
139,5.88391,5.89825,5.87414,0.024108,5680,0.94474
140,5.88555,5.89688,5.87506,0.0218172,5680,0.94705
141,5.88447,5.89521,5.87222,0.0229921,5680,0.95086
142,5.88338,5.89515,5.87268,0.0224785,5680,0.94965
143,5.88387,5.89425,5.87411,0.020142,5680,0.94118
144,5.88289,5.90194,5.87376,0.0281723,5680,0.94524
145,5.88422,5.89414,5.87256,0.0215768,5680,0.943
146,5.88196,5.89277,5.87182,0.0209473,5680,0.94219
147,5.88218,5.89417,5.8714,0.0227754,5680,0.93943
148,5.88397,5.89559,5.87297,0.0226233,5680,0.94323
