epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
106,3.53556,3.88672,3.50348,0.383232,4008,0.2713
107,3.53289,3.87873,3.49974,0.378985,4008,0.27794
108,3.52943,3.86287,3.49708,0.365783,4008,0.26178
109,3.52753,3.8539,3.49558,0.358318,4064,0.28795
110,3.52521,3.84282,3.493,0.349815,4064,0.27016
111,3.52272,3.83575,3.49038,0.345373,4064,0.25637
112,3.52021,3.82608,3.48815,0.337932,4064,0.27553
113,3.51784,3.82074,3.48737,0.333375,4152,0.28626
114,3.51537,3.82654,3.48472,0.341817,4224,0.30989
115,3.51396,3.81388,3.4823,0.331581,4224,0.27117
116,3.51183,3.79961,3.47964,0.319971,4224,0.26272
117,3.50924,3.80632,3.4781,0.328217,4296,0.27135
118,3.50382,3.77793,3.47339,0.304541,4488,0.26428
119,3.50295,3.78792,3.47408,0.313835,4488,0.29062
120,3.50058,3.82921,3.47229,0.356914,4744,0.28334
121,3.49938,3.86752,3.4717,0.395824,4808,0.2857
122,3.497,3.84853,3.46842,0.380114,4880,0.30043
123,3.49525,3.85907,3.46755,0.391519,4992,0.3156
124,3.49308,3.84413,3.46473,0.379401,4992,0.30146
125,3.49056,3.8298,3.46223,0.367574,4992,0.28453
126,3.48782,3.81489,3.45968,0.355203,4992,0.31231
127,3.48463,3.81534,3.45714,0.358208,4992,0.36776
128,3.48254,3.79327,3.45436,0.33891,4992,0.32536
129,3.47929,3.7928,3.45173,0.341071,4992,0.38121
130,3.47723,3.7886,3.44941,0.339191,4992,0.34948
131,3.47561,3.78447,3.44733,0.337142,4992,0.28909
132,3.47319,3.77476,3.44455,0.330204,4992,0.29031
133,3.47037,3.75414,3.44244,0.311707,4992,0.32818
134,3.46725,3.7565,3.44063,0.315868,5112,0.3329
135,3.46579,3.75747,3.43868,0.318797,5184,0.30658
136,3.46363,3.74411,3.43542,0.308686,5184,0.30456
137,3.46031,3.74411,3.43456,0.309544,5184,0.31351
138,3.45945,3.75094,3.4328,0.318134,5240,0.33288
139,3.45702,3.74598,3.4305,0.315484,5240,0.3222
140,3.45467,3.75187,3.42829,0.323576,5240,0.32743
141,3.45373,3.7709,3.42661,0.344291,5352,0.33832
142,3.45066,3.75416,3.4243,0.329861,5352,0.32558
143,3.44892,3.75451,3.42234,0.332176,5352,0.31206
144,3.4464,3.74142,3.42043,0.320992,5352,0.34657
145,3.44494,3.74079,3.41814,0.322646,5352,0.33123
146,3.44067,3.78274,3.41633,0.366409,5584,0.32135
147,3.43861,3.78414,3.4143,0.369838,5584,0.35731
148,3.4371,3.77655,3.41164,0.364909,5584,0.37232
149,3.43496,3.8435,3.40953,0.433962,5712,0.37905
